train dataset: size=1008
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
val dataset: size=336
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
model: #params=63.5M
epoch 1/1000, train: loss=4.0007, val: psnr=12.1880, val: ssim=0.1440, val: sam=51.2448, 32.4s 32.4s/9.0h
epoch 2/1000, train: loss=0.3439, val: psnr=16.8261, val: ssim=0.2827, val: sam=46.4348, 31.3s 1.1m/8.9h
epoch 3/1000, train: loss=0.2403, val: psnr=17.4505, val: ssim=0.3534, val: sam=42.1053, 33.0s 1.6m/9.0h
epoch 4/1000, train: loss=0.2121, val: psnr=18.4510, val: ssim=0.4492, val: sam=43.1105, 31.8s 2.1m/8.9h
epoch 5/1000, train: loss=0.1752, val: psnr=19.2347, val: ssim=0.5004, val: sam=39.6454, 31.9s 2.7m/8.9h
epoch 6/1000, train: loss=0.1619, val: psnr=20.0384, val: ssim=0.5072, val: sam=38.6622, 33.5s 3.2m/9.0h
epoch 7/1000, train: loss=0.1559, val: psnr=20.1344, val: ssim=0.5793, val: sam=37.1141, 32.4s 3.8m/9.0h
epoch 8/1000, train: loss=0.1368, val: psnr=20.9172, val: ssim=0.5698, val: sam=33.5301, 32.6s 4.3m/9.0h
epoch 9/1000, train: loss=0.1286, val: psnr=21.5539, val: ssim=0.6404, val: sam=34.5320, 32.7s 4.9m/9.0h
epoch 10/1000, train: loss=0.1264, val: psnr=21.3156, val: ssim=0.6111, val: sam=36.4544, 26.0s 5.3m/8.8h
epoch 11/1000, train: loss=0.1146, val: psnr=21.7120, val: ssim=0.6507, val: sam=32.4444, 31.7s 5.8m/8.8h
epoch 12/1000, train: loss=0.1087, val: psnr=22.1986, val: ssim=0.6464, val: sam=32.5441, 32.7s 6.4m/8.8h
epoch 13/1000, train: loss=0.1075, val: psnr=22.8068, val: ssim=0.6934, val: sam=31.3733, 32.5s 6.9m/8.9h
epoch 14/1000, train: loss=0.1097, val: psnr=22.3199, val: ssim=0.6211, val: sam=35.2432, 27.9s 7.4m/8.8h
epoch 15/1000, train: loss=0.1090, val: psnr=23.2007, val: ssim=0.6861, val: sam=30.6843, 31.5s 7.9m/8.8h
epoch 16/1000, train: loss=0.0945, val: psnr=23.8606, val: ssim=0.7015, val: sam=31.4702, 33.1s 8.5m/8.8h
epoch 17/1000, train: loss=0.0867, val: psnr=24.5937, val: ssim=0.7124, val: sam=28.6016, 34.0s 9.0m/8.8h
epoch 18/1000, train: loss=0.0837, val: psnr=24.4437, val: ssim=0.7059, val: sam=29.2480, 28.3s 9.5m/8.8h
epoch 19/1000, train: loss=0.0857, val: psnr=24.7662, val: ssim=0.7402, val: sam=26.4775, 33.3s 10.0m/8.8h
epoch 20/1000, train: loss=0.0796, val: psnr=25.0981, val: ssim=0.7683, val: sam=25.4260, 35.3s 10.6m/8.9h
epoch 21/1000, train: loss=0.0781, val: psnr=25.4864, val: ssim=0.7507, val: sam=26.1559, 32.6s 11.2m/8.9h
epoch 22/1000, train: loss=0.0712, val: psnr=25.9470, val: ssim=0.7908, val: sam=23.2625, 33.1s 11.7m/8.9h
epoch 23/1000, train: loss=0.0703, val: psnr=25.0611, val: ssim=0.7037, val: sam=25.2935, 26.0s 12.2m/8.8h
epoch 24/1000, train: loss=0.0760, val: psnr=25.4669, val: ssim=0.7678, val: sam=24.6243, 26.5s 12.6m/8.8h
epoch 25/1000, train: loss=0.0705, val: psnr=26.4155, val: ssim=0.7777, val: sam=24.8024, 31.6s 13.1m/8.8h
epoch 26/1000, train: loss=0.0668, val: psnr=26.0079, val: ssim=0.7848, val: sam=24.7490, 27.7s 13.6m/8.7h
epoch 27/1000, train: loss=0.0654, val: psnr=25.9722, val: ssim=0.7478, val: sam=22.2959, 25.1s 14.0m/8.7h
epoch 28/1000, train: loss=0.0626, val: psnr=26.7012, val: ssim=0.7965, val: sam=24.3460, 30.8s 14.5m/8.6h
epoch 29/1000, train: loss=0.0661, val: psnr=26.6116, val: ssim=0.8048, val: sam=24.5685, 26.5s 15.0m/8.6h
epoch 30/1000, train: loss=0.0667, val: psnr=26.7689, val: ssim=0.7896, val: sam=25.8608, 31.6s 15.5m/8.6h
epoch 31/1000, train: loss=0.0618, val: psnr=26.3709, val: ssim=0.8159, val: sam=25.7426, 27.2s 15.9m/8.6h
epoch 32/1000, train: loss=0.0579, val: psnr=27.4903, val: ssim=0.8122, val: sam=22.2908, 32.7s 16.5m/8.6h
epoch 33/1000, train: loss=0.0540, val: psnr=28.3520, val: ssim=0.8430, val: sam=20.1758, 31.9s 17.0m/8.6h
epoch 34/1000, train: loss=0.0558, val: psnr=27.8004, val: ssim=0.8323, val: sam=21.8796, 26.6s 17.5m/8.6h
epoch 35/1000, train: loss=0.0602, val: psnr=26.0854, val: ssim=0.7885, val: sam=24.9675, 26.5s 17.9m/8.5h
epoch 36/1000, train: loss=0.0589, val: psnr=27.8406, val: ssim=0.8149, val: sam=20.7806, 25.3s 18.3m/8.5h
epoch 37/1000, train: loss=0.0512, val: psnr=28.7838, val: ssim=0.8358, val: sam=21.8754, 31.8s 18.9m/8.5h
epoch 38/1000, train: loss=0.0494, val: psnr=27.0161, val: ssim=0.8474, val: sam=19.3057, 26.9s 19.3m/8.5h
epoch 39/1000, train: loss=0.0534, val: psnr=29.2871, val: ssim=0.8674, val: sam=20.7677, 31.9s 19.8m/8.5h
epoch 40/1000, train: loss=0.0467, val: psnr=29.7511, val: ssim=0.8814, val: sam=19.5788, 32.5s 20.4m/8.5h
epoch 41/1000, train: loss=0.0459, val: psnr=29.0020, val: ssim=0.8434, val: sam=19.1101, 26.2s 20.8m/8.5h
epoch 42/1000, train: loss=0.0443, val: psnr=30.3986, val: ssim=0.9056, val: sam=18.1349, 31.7s 21.3m/8.5h
epoch 43/1000, train: loss=0.0407, val: psnr=29.9996, val: ssim=0.8447, val: sam=25.9763, 26.6s 21.8m/8.4h
epoch 44/1000, train: loss=0.0420, val: psnr=29.3186, val: ssim=0.8515, val: sam=20.9782, 26.5s 22.2m/8.4h
epoch 45/1000, train: loss=0.0393, val: psnr=28.8782, val: ssim=0.8925, val: sam=17.7515, 28.0s 22.7m/8.4h
epoch 46/1000, train: loss=0.0449, val: psnr=28.3852, val: ssim=0.8384, val: sam=22.6216, 26.0s 23.1m/8.4h
epoch 47/1000, train: loss=0.0440, val: psnr=30.9642, val: ssim=0.8832, val: sam=18.1694, 32.2s 23.7m/8.4h
epoch 48/1000, train: loss=0.0386, val: psnr=30.7553, val: ssim=0.8849, val: sam=19.1061, 26.7s 24.1m/8.4h
epoch 49/1000, train: loss=0.0400, val: psnr=30.0892, val: ssim=0.8703, val: sam=19.8241, 26.2s 24.6m/8.4h
epoch 50/1000, train: loss=0.0370, val: psnr=31.1882, val: ssim=0.9081, val: sam=17.1174, 31.9s 25.1m/8.4h
epoch 51/1000, train: loss=0.0367, val: psnr=30.7648, val: ssim=0.8710, val: sam=19.8684, 27.4s 25.5m/8.3h
epoch 52/1000, train: loss=0.0339, val: psnr=31.3147, val: ssim=0.9051, val: sam=17.2301, 31.2s 26.1m/8.4h
epoch 53/1000, train: loss=0.0374, val: psnr=31.3560, val: ssim=0.8933, val: sam=16.8531, 31.9s 26.6m/8.4h
epoch 54/1000, train: loss=0.0358, val: psnr=31.2272, val: ssim=0.9049, val: sam=17.3720, 27.1s 27.0m/8.3h
epoch 55/1000, train: loss=0.0328, val: psnr=31.2677, val: ssim=0.9177, val: sam=17.4876, 26.4s 27.5m/8.3h
epoch 56/1000, train: loss=0.0405, val: psnr=30.5836, val: ssim=0.8979, val: sam=19.2471, 25.6s 27.9m/8.3h
epoch 57/1000, train: loss=0.0344, val: psnr=31.0168, val: ssim=0.9108, val: sam=16.9986, 26.6s 28.4m/8.3h
epoch 58/1000, train: loss=0.0352, val: psnr=31.4303, val: ssim=0.9019, val: sam=17.3311, 30.5s 28.9m/8.3h
